Название,Тип лодки,Тип Яхты,Команда,Добавить повара,Регион,Порт,Каюты,Длина,Места для гостей,Туалет ,Стоимость за день,Состояние,Фото
Ермак,Круизная,Bavaria 32,Капитан,Нет,Обское море,Новосибирск,3,10 м,6,1,17500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/40-th_Regatta_Onego-2011.JPG/1280px-40-th_Regatta_Onego-2011.JPG
Стрежень,Круизная,Beneteau Oceanis Yacht 62,Капитан и помощник,Да,Обское море,Новосибирск,5,19 м,12,3,39500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Ladoga._Lauvatsaari_island.jpg/1280px-Ladoga._Lauvatsaari_island.jpg
Фарватер,Круизная,Конрад 24,Капитан и помощник,Нет,Обское море,Новосибирск,1,8 м,4,Нет,11500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Peterson_25.JPG/1280px-Peterson_25.JPG
Бакен,Круизная,Опал 3,Капитан и помощник,Нет,Обское море,Новосибирск,2,8 м,4,1,11500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Sailing_in_Gulf_of_Finland%2C_Russia-1.jpg/1280px-Sailing_in_Gulf_of_Finland%2C_Russia-1.jpg
Створ,Моторная,Nimbus 405 Coupe,Капитан,Да,Обское море,Новосибирск,4,13 м,8,2,24000,3,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Sailing_in_Gulf_of_Finland%2C_Saint_Petersburg.jpg/1280px-Sailing_in_Gulf_of_Finland%2C_Saint_Petersburg.jpg
Плёс,Моторная,Botnia Targa 32,Капитан и помощник,Нет,Обское море,Новосибирск,4,10 м,7,1,20500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Sunset_over_Gulf_of_Finland%2C_Saint_Petersburg.jpg/1280px-Sunset_over_Gulf_of_Finland%2C_Saint_Petersburg.jpg
Перекат,Круизная,Конрад 24,Капитан и помощник,Нет,Иртыш,Омск,2,8 м,4,Нет,12000,5,https://upload.wikimedia.org/wikipedia/commons/2/22/%D0%90%D0%BB%D1%8C%D0%B1%D0%B0%D1%82%D1%80%D0%BE%D1%81%D1%8B_%D0%BD%D0%B0_%D0%9B%D0%B0%D0%B4%D0%BE%D0%B3%D0%B5.jpg
Быстрина,Круизная,Galeon 425 HTS,Капитан,Да,Иртыш,Омск,4,13 м,9,2,28500,5,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/%D0%9F%D1%80%D0%B8%D1%87%D0%B0%D0%BB%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%D0%9F%D0%BE%D1%80%D1%82%D0%B0.jpg/1280px-%D0%9F%D1%80%D0%B8%D1%87%D0%B0%D0%BB%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%D0%9F%D0%BE%D1%80%D1%82%D0%B0.jpg
Излучина,Круизная,Galeon 425 HTS,Капитан,Да,Иртыш,Омск,4,13 м,8,2,22500,3,https://upload.wikimedia.org/wikipedia/commons/8/81/%D0%AF%D1%85%D1%82%D0%B0_%22%D0%92%D0%B8%D0%B3%D1%80%D0%B8%22%2C_RUS_1226.jpg
Старица,Круизная,Четвертьтонник,Капитан,Нет,Нижняя Обь,Ханты-Мансийск,2,8 м,4,Нет,13500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%9E%D0%B1%D1%81%D0%BA%D0%BE%D0%BC_%D0%BC%D0%BE%D1%80%D0%B5_-_panoramio.jpg/1280px-%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%9E%D0%B1%D1%81%D0%BA%D0%BE%D0%BC_%D0%BC%D0%BE%D1%80%D0%B5_-_panoramio.jpg
Затон,Круизная,Л-6,Капитан и помощник,Нет,Нижняя Обь,Ханты-Мансийск,3,11 м,7,1,24000,4,https://upload.wikimedia.org/wikipedia/commons/a/aa/Admiral_nevelskoi_yacht.jpg
Протока,Круизная,Jeanneau Sun Odyssey 449,Капитан и помощник,Да,Нижняя Обь,Ханты-Мансийск,4,14 м,9,2,31500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Catamaran_m761.jpg/1280px-Catamaran_m761.jpg
Шивера,Круизная,Jeanneau Sun Odyssey 449,Капитан и помощник,Да,Красноярское море,Красноярск,4,14 м,10,2,30000,3,https://upload.wikimedia.org/wikipedia/commons/8/89/GRINDA_2010.jpg
Тобол,Круизная,Lagoon 42,Капитан,Да,Красноярское море,Красноярск,3,13 м,8,1,25500,4,https://upload.wikimedia.org/wikipedia/commons/6/63/Princess57_%284949873489%29.jpg
Ишим,Круизная,Bavaria 45,Капитан и помощник,Да,Красноярское море,Красноярск,4,15 м,9,2,29000,4,https://upload.wikimedia.org/wikipedia/commons/f/fa/Sortavala_harbour.jpg
Чулым,Круизная,Четвертьтонник,Капитан,Нет,Красноярское море,Красноярск,1,8 м,5,Нет,16000,5,https://upload.wikimedia.org/wikipedia/commons/2/2d/Yacht_Sierra_in_Strogino_2024.jpg
Васюган,Моторная,Botnia Targa 32,Капитан,Нет,Красноярское море,Красноярск,2,10 м,5,Нет,14500,3,https://upload.wikimedia.org/wikipedia/commons/b/bf/%D0%91%D0%B5%D0%BB%D0%BE%D0%B5_%D0%BC%D0%BE%D1%80%D0%B5_76.jpg
Кеть,Круизная,Ferretti 720,Капитан и помощник,Да,Братское море,Братск,7,22 м,14,4,49500,4,https://upload.wikimedia.org/wikipedia/commons/8/80/%D0%92%D0%B5%D1%82%D0%B5%D1%80_%D0%9B%D0%B0%D0%B4%D0%BE%D0%B3%D0%B004.jpg
Томь,Круизная,Dehler 29,Капитан,Нет,Братское море,Братск,3,9 м,6,1,20500,5,https://upload.wikimedia.org/wikipedia/commons/d/d9/%D0%9C%D0%B5%D0%B2%D1%8B_%D0%BD%D0%B0_%D0%90%D0%B7%D0%BE%D0%B2%D0%B5.jpg
Бия,Круизная,Гидра 26,Капитан,Нет,Братское море,Братск,2,8 м,4,Нет,13000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Kazan_River_port_area_08-2016_img1.jpg/1280px-Kazan_River_port_area_08-2016_img1.jpg
Катунь,Круизная,Hanse 445,Капитан,Да,Нижний Дон,Ростов-на-Дону,4,13 м,8,3,22500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Nizhny_Novgorod._Saint_Simeon_Church_in_the_Kremlin._Yachting_on_the_Volga._August_19%2C_2023.jpg/1280px-Nizhny_Novgorod._Saint_Simeon_Church_in_the_Kremlin._Yachting_on_the_Volga._August_19%2C_2023.jpg
Чуя,Круизная,Sunseeker 76,Капитан и помощник,Да,Нижний Дон,Ростов-на-Дону,7,23 м,14,3,42500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Taganrog._Yacht_club_and_port_P4300007_2350.jpg/1280px-Taganrog._Yacht_club_and_port_P4300007_2350.jpg
Абакан,Круизная,Nimbus 405 Coupe,Капитан,Да,Нижний Дон,Ростов-на-Дону,4,13 м,8,3,21000,3,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Unknown_Russian_Yacht_%D0%A018-48%D0%9C%D0%93_in_Tallinn_22_May_2013.jpg/1280px-Unknown_Russian_Yacht_%D0%A018-48%D0%9C%D0%93_in_Tallinn_22_May_2013.jpg
Мана,Круизная,Bavaria 32,Капитан,Нет,Нижний Дон,Ростов-на-Дону,3,10 м,6,Нет,15500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Yacht_club_Petrovskaya_kosa_9.jpg/1280px-Yacht_club_Petrovskaya_kosa_9.jpg
Туба,Моторная,Botnia Targa 37,Капитан,Да,Нижний Дон,Ростов-на-Дону,4,12 м,7,2,19500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B5%D1%87%D0%BD%D0%BE%D0%B9_%D1%8F%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1.jpg/1280px-%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B5%D1%87%D0%BD%D0%BE%D0%B9_%D1%8F%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1.jpg
Илим,Моторная,Princess V50,Капитан и помощник,Да,Нижний Дон,Ростов-на-Дону,4,15 м,8,2,23000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/%D0%9F%D0%B0%D1%80%D1%83%D1%81%D0%BD%D0%B0%D1%8F_%D1%80%D0%B5%D0%B3%D0%B0%D1%82%D0%B0_%D0%B2_%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5_IMG_3402WI.jpg/1280px-%D0%9F%D0%B0%D1%80%D1%83%D1%81%D0%BD%D0%B0%D1%8F_%D1%80%D0%B5%D0%B3%D0%B0%D1%82%D0%B0_%D0%B2_%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5_IMG_3402WI.jpg
