Название,Тип лодки,Тип Яхты,Команда,Добавить повара,Регион,Акватория,Порт,Каюты,Длина,Места для гостей,Туалет,Корпус,Лодок,Стоимость за день,Состояние,Фото
Клотик,Круизная,Полутонник,Капитан,Нет,Балтика,Финский залив,Санкт-Петербург,2,10 м,5,1,,1,16000,3,https://searadar.com/uploads/boats/crop/1200/675/560/57/4751-1633768-catalina-42-tintaro.jpg
Tarpon,Круизная,Картер 30,Капитан,Нет,Балтика,Финский залив,Санкт-Петербург,2,9 м,5,Нет,,1,17000,4,https://searadar.com/uploads/boats/crop/1200/675/4a2/a4/5605-1544251-cyclades-393-rhodes-yachting.jpg
Полынья,Круизная,Конрад 25RT,Капитан,Нет,Балтика,Финский залив,Санкт-Петербург,3,9 м,6,Нет,,1,21500,5,https://searadar.com/uploads/boats/crop/1200/675/a66/77/4752-1535990-cyclades-433-tecno-sail.jpg
Vagabond,Круизная,Картер 30,Капитан,Нет,Балтика,Финский залив,Санкт-Петербург,1,9 м,5,1,,1,17000,4,https://searadar.com/uploads/boats/crop/1200/675/034/34/4189-1579283-cyclades-434-blondie.jpg
Delphinus,Круизная,Л-6,Капитан,Нет,Балтика,Выборгский залив,Выборг,3,11 м,7,Нет,,1,22000,4,https://searadar.com/uploads/boats/crop/1200/675/8f7/48/52548-1648074-cyclades-434-classic.jpeg
Тундра,Круизная,Bavaria 32,Капитан,Нет,Балтика,Выборгский залив,Выборг,2,10 м,6,Нет,,1,18500,4,https://searadar.com/uploads/boats/crop/1200/675/bb1/fe/56480-1524323-bavaria-30-cruiser-2cab-xenia.jpg
Волна,Круизная,Судоход 115,Капитан и помощник,Да,Балтика,Выборгский залив,Выборг,7,28 м,17,3,,1,60000,4,https://searadar.com/uploads/boats/crop/1200/675/727/87/50956-1811951-cyclades-434-kalypso.jpg
Kraken,Круизная,Bavaria 32,Капитан,Нет,Балтика,Невская губа,Кронштадт,3,10 м,7,Нет,,1,23000,4,https://searadar.com/uploads/boats/crop/1200/675/620/c8/58370-1677740-bavaria-32-cruiser-star-chiara.jpg
Quicksilver,Круизная,Конрад 24,Капитан,Нет,Балтика,Невская губа,Кронштадт,3,8 м,6,1,,1,19000,4,https://searadar.com/uploads/boats/crop/1200/675/ba2/b2/2933-1634488-cyclades-434-velasquez.jpg
Northern Light,Круизная,Beneteau First 31.7,Капитан и помощник,Нет,Балтика,Невская губа,Кронштадт,4,10 м,7,Нет,,1,23000,4,https://searadar.com/uploads/boats/crop/1200/675/026/94/3676-1579127-first-35-aries.jpg
Позёмка,Круизная,Salona 44,Капитан,Да,Балтика,Калининградский залив,Балтийск,3,13 м,7,1,,1,21000,3,https://searadar.com/uploads/boats/crop/1200/675/7e3/0d/22074-1806649-elan-333-anja.jpg
Арктур,Круизная,Нева,Капитан и помощник,Нет,Балтика,Калининградский залив,Балтийск,2,9 м,6,1,,1,17000,3,https://searadar.com/uploads/boats/crop/1200/675/861/34/1542-1878651-cyclades-504-kate.jpg
Корюшка,Круизная,Нева,Капитан,Нет,Балтика,Калининградский залив,Балтийск,3,9 м,7,Нет,,1,21500,4,https://searadar.com/uploads/boats/crop/1200/675/fb0/c8/3859-1656449-dehler-34-bb.jpg
Intrepid,Круизная,Swan 65,Капитан и помощник,Да,Балтика,Куршская коса,Пионерский,6,20 м,13,2,,1,41000,4,https://searadar.com/uploads/boats/crop/1200/675/560/57/4751-1633768-catalina-42-tintaro.jpg
Ушкуй,Круизная,Beneteau Oceanis 41,Капитан,Да,Балтика,Куршская коса,Пионерский,4,12 м,8,2,,1,24000,4,https://searadar.com/uploads/boats/crop/1200/675/acc/15/3675-1586905-first-35-capricorn.jpg
Наст,Круизная,Botnia Targa 37,Капитан,Да,Балтика,Куршская коса,Пионерский,3,12 м,7,2,,1,19500,3,https://searadar.com/uploads/boats/crop/1200/675/6ca/2a/60693-1864229-3d-tender-lux-500-stingray-predator-640.jpg
Яхта,Круизная,Конрад 25RT,Капитан,Нет,Карелия,Ладожское озеро,Сортавала,3,9 м,6,Нет,,1,16000,3,https://searadar.com/uploads/boats/crop/1200/675/b00/c9/12897-1768021-dehler-38-redshift.jpeg
Фумарола,Круизная,Jeanneau Sun Odyssey 449,Капитан и помощник,Да,Карелия,Ладожское озеро,Сортавала,3,14 м,8,1,,1,27000,4,https://searadar.com/uploads/boats/crop/1200/675/35e/62/22311-1782896-sun-loft-47-fragon.jpg
Poseidon,Круизная,Beneteau Oceanis 41,Капитан,Да,Карелия,Ладожское озеро,Сортавала,3,12 м,8,1,,1,25000,3,https://searadar.com/uploads/boats/crop/1200/675/637/01/3669-1674680-first-35-gemini.jpg
Levante,Круизная,Swan 65,Капитан и помощник,Да,Карелия,Ладожское озеро,Сортавала,6,20 м,11,3,,1,40500,5,https://searadar.com/uploads/boats/crop/1200/675/4a2/a4/5605-1544251-cyclades-393-rhodes-yachting.jpg
Левентик,Круизная,Л-6,Капитан,Нет,Карелия,Ладожское озеро,Приозерск,4,11 м,7,1,,1,22000,4,https://searadar.com/uploads/boats/crop/1200/675/f34/db/54346-1604526-hunter-320-cami-3.jpg
Параллель,Круизная,Опал 3,Капитан и помощник,Нет,Карелия,Ладожское озеро,Приозерск,2,8 м,5,Нет,,1,15000,4,https://searadar.com/uploads/boats/crop/1200/675/5e8/9f/48586-1737478-pilot-cutter-black-bird.png
Чайка,Круизная,Lagoon 42,Капитан и помощник,Да,Карелия,Ладожское озеро,Приозерск,4,13 м,7,2,,1,21000,3,https://searadar.com/uploads/boats/crop/1200/675/3a1/e4/2068-1821328-lagoon-46-selene-ac-generator-watermaker.jpg
Cold Water,Круизная,Swan 65,Капитан и помощник,Да,Карелия,Онежское озеро,Петрозаводск,6,20 м,11,2,,1,38500,5,https://searadar.com/uploads/boats/crop/1200/675/a66/77/4752-1535990-cyclades-433-tecno-sail.jpg
Пурга,Круизная,Botnia Targa 37,Капитан,Да,Карелия,Онежское озеро,Петрозаводск,4,12 м,7,2,,1,20500,3,https://searadar.com/uploads/boats/crop/1200/675/eb8/19/51384-1571757-akhir-27-shiva.jpg
Оверштаг,Круизная,Jeanneau Sun Odyssey 449,Капитан и помощник,Да,Карелия,Онежское озеро,Петрозаводск,4,14 м,8,2,,1,25500,4,https://searadar.com/uploads/boats/crop/1200/675/b92/6e/59523-1722397-sun-loft-47-new-horizons.jpg
Белая ночь,Круизная,Полутонник,Капитан и помощник,Нет,Карелия,Белое море,Чупа,2,10 м,5,Нет,,1,15000,3,https://searadar.com/uploads/boats/crop/1200/675/035/60/55841-1776695-pogo-36-no-name.jpeg
Палтус,Круизная,Рикошет 747,Капитан,Нет,Карелия,Белое море,Чупа,2,8 м,4,Нет,,1,13000,3,https://searadar.com/uploads/boats/crop/1200/675/d17/3b/50844-1736315-pogo-44-ithaka.jpg
Siren,Круизная,Alubat Ovni 435,Капитан,Да,Карелия,Белое море,Чупа,4,13 м,8,3,,1,31000,5,https://searadar.com/uploads/boats/crop/1200/675/bb1/fe/56480-1524323-bavaria-30-cruiser-2cab-xenia.jpg
Брусника,Круизная,Л-6,Капитан,Нет,Карелия,Кандалакшский залив,Кандалакша,4,11 м,8,Нет,,1,29000,4,https://searadar.com/uploads/boats/crop/1200/675/620/c8/58370-1677740-bavaria-32-cruiser-star-chiara.jpg
Мойва,Круизная,Beneteau Oceanis 41,Капитан,Да,Карелия,Кандалакшский залив,Кандалакша,4,12 м,8,2,,1,29000,4,https://searadar.com/uploads/boats/crop/1200/675/594/6f/3674-1597417-first-35-libra.jpg
Perseus,Круизная,McGregor 65,Капитан и помощник,Да,Карелия,Кандалакшский залив,Кандалакша,6,22 м,13,2,,1,53500,5,https://searadar.com/uploads/boats/crop/1200/675/a6a/9c/51832-1591623-bavaria-32-holiday-theodor-storm.jpeg
Навага,Круизная,Alubat Ovni 435,Капитан,Да,Карелия,Онежская губа,Соловецкий,3,13 м,8,1,,1,32500,5,https://searadar.com/uploads/boats/crop/1200/675/643/86/57718-1697581-bavaria-34-cruiserg-evi.jpg
Freedom,Круизная,Судоход 88,Капитан и помощник,Да,Карелия,Онежская губа,Соловецкий,5,17 м,10,2,,1,39500,4,https://searadar.com/uploads/boats/crop/1200/675/800/c2/5256-1654579-bavaria-34-cruiser-skippy.jpg
Sea Fever,Круизная,Судоход 88,Капитан и помощник,Да,Карелия,Онежская губа,Соловецкий,5,17 м,10,2,,1,39500,4,https://searadar.com/uploads/boats/crop/1200/675/784/d7/50969-1866984-bavaria-34-cruiser-skippy.jpeg
Белуха,Круизная,Полутонник,Капитан,Нет,Карелия,Онежская губа,Соловецкий,2,10 м,6,Нет,,1,22500,4,https://searadar.com/uploads/boats/crop/1200/675/605/15/49733-1686053-bavaria-34-taz.jpeg
Корга,Круизная,Bavaria Cruiser 46,Капитан и помощник,Да,Карелия,Двинская губа,Архангельск,4,14 м,9,3,,1,30000,3,https://searadar.com/uploads/boats/crop/1200/675/a6a/9c/51832-1591623-bavaria-32-holiday-theodor-storm.jpeg
Andromeda,Круизная,Dufour 460 Grand Large,Капитан и помощник,Да,Карелия,Двинская губа,Архангельск,4,14 м,9,2,,1,31500,4,https://searadar.com/uploads/boats/crop/1200/675/2bb/1d/55929-1796176-dufour-310-gl-expensive-toy.jpg
Кабельтов,Круизная,Дракон,Капитан,Нет,Карелия,Двинская губа,Архангельск,2,9 м,5,Нет,,1,17000,4,https://searadar.com/uploads/boats/crop/1200/675/f76/86/3931-1847727-bavaria-35-cruiser-alba.jpg
Gulf Stream,Круизная,Конрад 24,Капитан,Нет,Арктика,Кольский залив,Мурманск,2,8 м,5,Нет,,1,18000,3,https://searadar.com/uploads/boats/crop/1200/675/744/8a/2460-1610985-bavaria-36-altair.jpg
Far Horizon,Круизная,Elan Impression 40,Капитан,Да,Арктика,Кольский залив,Мурманск,3,12 м,7,2,,1,27500,4,https://searadar.com/uploads/boats/crop/1200/675/f36/ab/60726-1865202-elan-34-argo.jpg
Метель,Круизная,Dehler 29,Капитан,Нет,Арктика,Кольский залив,Мурманск,4,9 м,7,Нет,,1,25500,3,https://searadar.com/uploads/boats/crop/1200/675/272/62/6085-1540823-bavaria-36-ankereva.jpg
Вест,Круизная,Дракон,Капитан и помощник,Нет,Арктика,Кольский залив,Мурманск,3,9 м,6,Нет,,1,22000,3,https://searadar.com/uploads/boats/crop/1200/675/54c/2c/2681-1579051-bavaria-37-cruiser-big-blue-horizon.jpg
Янтарь,Круизная,Alubat Ovni 435,Капитан,Да,Арктика,Баренцево море,Териберка,4,13 м,7,3,,1,28500,3,https://searadar.com/uploads/boats/crop/1200/675/4bd/57/3285-1717409-bavaria-37-cruiser-nenemia.jpg
Бриз,Круизная,Конрад 24,Капитан,Нет,Арктика,Баренцево море,Териберка,2,8 м,5,1,,1,21000,4,https://searadar.com/uploads/boats/crop/1200/675/74c/0a/49734-1686310-bavaria-37-roger-rabbit.jpeg
Cygnus,Круизная,Рикошет 747,Капитан,Нет,Арктика,Баренцево море,Териберка,2,8 м,5,1,,1,21000,4,https://searadar.com/uploads/boats/crop/1200/675/70a/71/4830-1611306-bavaria-37-stairway-to-heaven.jpg
Крачка,Круизная,Beneteau First 31.7,Капитан и помощник,Нет,Арктика,Баренцево море,Териберка,3,10 м,6,Нет,,1,27000,5,https://searadar.com/uploads/boats/crop/1200/675/a20/7b/46176-1569112-beneteau-first-35-psyche.jpeg
Штурвал,Круизная,Нева,Капитан,Нет,Арктика,Печорское море,Нарьян-Мар,3,9 м,6,1,,1,24500,3,https://searadar.com/uploads/boats/crop/1200/675/38b/71/7876-1630729-bavaria-38-cruiser-1132-bg-sails-2015.jpg
Barracuda,Круизная,Dufour 460 Grand Large,Капитан и помощник,Да,Арктика,Печорское море,Нарьян-Мар,4,14 м,8,2,,1,38500,5,https://searadar.com/uploads/boats/crop/1200/675/b8f/ec/55657-1534577-dufour-310-grand-large-expensive-toy.jpg
Nautilus,Круизная,Дракон,Капитан,Нет,Арктика,Печорское море,Нарьян-Мар,2,9 м,6,Нет,,1,26000,4,https://searadar.com/uploads/boats/crop/1200/675/d30/d0/5958-1815540-bavaria-38-cruiser-meander.jpg
Аврора,Круизная,Jeanneau Sun Odyssey 449,Капитан и помощник,Да,Арктика,Печорское море,Нарьян-Мар,4,14 м,9,2,,1,40500,4,https://searadar.com/uploads/boats/crop/1200/675/740/00/3515-1601236-sun-odyssey-319-amathea.jpg
Triton,Круизная,Четвертьтонник,Капитан,Нет,Арктика,Карское море,Диксон,2,8 м,5,Нет,,1,23000,4,https://searadar.com/uploads/boats/crop/1200/675/16d/a0/2362-1568244-bavaria-38-match-gipsy.jpg
