Название,Тип Яхты,Команда,Добавить повара,Регион,Порт,Каюты,Длина,Места для гостей,Туалет ,Стоимость за день,Состояние,Фото
Клотик,Полутонник,Капитан,Нет,Финский залив,Санкт-Петербург,2,10 м,5,1,16000,3,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Sailing_in_Gulf_of_Finland%2C_Russia-1.jpg/1280px-Sailing_in_Gulf_of_Finland%2C_Russia-1.jpg
Tarpon,Картер 30,Капитан,Нет,Финский залив,Санкт-Петербург,2,9 м,5,Нет,17000,4,https://static.tildacdn.com/tild3163-6436-4461-b630-333533373061/Photo_21052021_19_55.jpg
Полынья,Конрад 25RT,Капитан,Нет,Финский залив,Санкт-Петербург,3,9 м,6,Нет,21500,5,https://static.tildacdn.com/tild6266-3762-4766-b939-303630376638/_DSC1609.jpg
Vagabond,Картер 30,Капитан,Нет,Финский залив,Санкт-Петербург,1,9 м,5,1,17000,4,https://static.tildacdn.com/tild3335-3634-4266-b932-383262303338/DSC09472.jpg
Delphinus,Л-6,Капитан,Нет,Выборгский залив,Выборг,3,11 м,7,Нет,22000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/40-th_Regatta_Onego-2011.JPG/1280px-40-th_Regatta_Onego-2011.JPG
Тундра,Bavaria 32,Капитан,Нет,Выборгский залив,Выборг,2,10 м,6,Нет,18500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Ladoga._Lauvatsaari_island.jpg/1280px-Ladoga._Lauvatsaari_island.jpg
Волна,Судоход 115,Капитан и помощник,Да,Выборгский залив,Выборг,7,28 м,17,3,60000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Peterson_25.JPG/1280px-Peterson_25.JPG
Kraken,Bavaria 32,Капитан,Нет,Невская губа,Кронштадт,3,10 м,7,Нет,23000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Sunset_over_Gulf_of_Finland%2C_Saint_Petersburg.jpg/1280px-Sunset_over_Gulf_of_Finland%2C_Saint_Petersburg.jpg
Quicksilver,Конрад 24,Капитан,Нет,Невская губа,Кронштадт,3,8 м,6,1,19000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Sailing_in_Gulf_of_Finland%2C_Russia-1.jpg/1280px-Sailing_in_Gulf_of_Finland%2C_Russia-1.jpg
Northern Light,Beneteau First 31.7,Капитан и помощник,Нет,Невская губа,Кронштадт,4,10 м,7,Нет,23000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Sailing_in_Gulf_of_Finland%2C_Saint_Petersburg.jpg/1280px-Sailing_in_Gulf_of_Finland%2C_Saint_Petersburg.jpg
Позёмка,Salona 44,Капитан,Да,Калининградский залив,Балтийск,3,13 м,7,1,21000,3,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Sunset_over_Gulf_of_Finland%2C_Saint_Petersburg.jpg/1280px-Sunset_over_Gulf_of_Finland%2C_Saint_Petersburg.jpg
Арктур,Нева,Капитан и помощник,Нет,Калининградский залив,Балтийск,2,9 м,6,1,17000,3,https://upload.wikimedia.org/wikipedia/commons/2/22/%D0%90%D0%BB%D1%8C%D0%B1%D0%B0%D1%82%D1%80%D0%BE%D1%81%D1%8B_%D0%BD%D0%B0_%D0%9B%D0%B0%D0%B4%D0%BE%D0%B3%D0%B5.jpg
Корюшка,Нева,Капитан,Нет,Калининградский залив,Балтийск,3,9 м,7,Нет,21500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/%D0%9F%D1%80%D0%B8%D1%87%D0%B0%D0%BB%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%D0%9F%D0%BE%D1%80%D1%82%D0%B0.jpg/1280px-%D0%9F%D1%80%D0%B8%D1%87%D0%B0%D0%BB%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%D0%9F%D0%BE%D1%80%D1%82%D0%B0.jpg
Intrepid,Swan 65,Капитан и помощник,Да,Куршская коса,Пионерский,6,20 м,13,2,41000,4,https://upload.wikimedia.org/wikipedia/commons/8/81/%D0%AF%D1%85%D1%82%D0%B0_%22%D0%92%D0%B8%D0%B3%D1%80%D0%B8%22%2C_RUS_1226.jpg
Ушкуй,Beneteau Oceanis 41,Капитан,Да,Куршская коса,Пионерский,4,12 м,8,2,24000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%9E%D0%B1%D1%81%D0%BA%D0%BE%D0%BC_%D0%BC%D0%BE%D1%80%D0%B5_-_panoramio.jpg/1280px-%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%9E%D0%B1%D1%81%D0%BA%D0%BE%D0%BC_%D0%BC%D0%BE%D1%80%D0%B5_-_panoramio.jpg
Наст,Botnia Targa 37,Капитан,Да,Куршская коса,Пионерский,3,12 м,7,2,19500,3,https://upload.wikimedia.org/wikipedia/commons/a/aa/Admiral_nevelskoi_yacht.jpg
Яхта,Конрад 25RT,Капитан,Нет,Ладога,Сортавала,3,9 м,6,Нет,16000,3,https://upload.wikimedia.org/wikipedia/commons/2/22/%D0%90%D0%BB%D1%8C%D0%B1%D0%B0%D1%82%D1%80%D0%BE%D1%81%D1%8B_%D0%BD%D0%B0_%D0%9B%D0%B0%D0%B4%D0%BE%D0%B3%D0%B5.jpg
Фумарола,Jeanneau Sun Odyssey 449,Капитан и помощник,Да,Ладога,Сортавала,3,14 м,8,1,27000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Ladoga._Lauvatsaari_island.jpg/1280px-Ladoga._Lauvatsaari_island.jpg
Poseidon,Beneteau Oceanis 41,Капитан,Да,Ладога,Сортавала,3,12 м,8,1,25000,3,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Catamaran_m761.jpg/1280px-Catamaran_m761.jpg
Levante,Swan 65,Капитан и помощник,Да,Ладога,Сортавала,6,20 м,11,3,40500,5,https://upload.wikimedia.org/wikipedia/commons/8/89/GRINDA_2010.jpg
Левентик,Л-6,Капитан,Нет,Ладожские шхеры,Приозерск,4,11 м,7,1,22000,4,https://upload.wikimedia.org/wikipedia/commons/8/80/%D0%92%D0%B5%D1%82%D0%B5%D1%80_%D0%9B%D0%B0%D0%B4%D0%BE%D0%B3%D0%B004.jpg
Параллель,Опал 3,Капитан и помощник,Нет,Ладожские шхеры,Приозерск,2,8 м,5,Нет,15000,4,https://upload.wikimedia.org/wikipedia/commons/6/63/Princess57_%284949873489%29.jpg
Чайка,Lagoon 42,Капитан и помощник,Да,Ладожские шхеры,Приозерск,4,13 м,7,2,21000,3,https://upload.wikimedia.org/wikipedia/commons/f/fa/Sortavala_harbour.jpg
Cold Water,Swan 65,Капитан и помощник,Да,Онежское озеро,Петрозаводск,6,20 м,11,2,38500,5,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/40-th_Regatta_Onego-2011.JPG/1280px-40-th_Regatta_Onego-2011.JPG
Пурга,Botnia Targa 37,Капитан,Да,Онежское озеро,Петрозаводск,4,12 м,7,2,20500,3,https://upload.wikimedia.org/wikipedia/commons/2/2d/Yacht_Sierra_in_Strogino_2024.jpg
Оверштаг,Jeanneau Sun Odyssey 449,Капитан и помощник,Да,Онежское озеро,Петрозаводск,4,14 м,8,2,25500,4,https://upload.wikimedia.org/wikipedia/commons/b/bf/%D0%91%D0%B5%D0%BB%D0%BE%D0%B5_%D0%BC%D0%BE%D1%80%D0%B5_76.jpg
Белая ночь,Полутонник,Капитан и помощник,Нет,Белое море,Чупа,2,10 м,5,Нет,15000,3,https://static.tildacdn.com/tild3163-6436-4461-b630-333533373061/Photo_21052021_19_55.jpg
Палтус,Рикошет 747,Капитан,Нет,Белое море,Чупа,2,8 м,4,Нет,13000,3,https://upload.wikimedia.org/wikipedia/commons/b/bf/%D0%91%D0%B5%D0%BB%D0%BE%D0%B5_%D0%BC%D0%BE%D1%80%D0%B5_76.jpg
Siren,Alubat Ovni 435,Капитан,Да,Белое море,Чупа,4,13 м,8,3,31000,5,https://upload.wikimedia.org/wikipedia/commons/8/80/%D0%92%D0%B5%D1%82%D0%B5%D1%80_%D0%9B%D0%B0%D0%B4%D0%BE%D0%B3%D0%B004.jpg
Брусника,Л-6,Капитан,Нет,Кандалакшский залив,Кандалакша,4,11 м,8,Нет,29000,4,https://upload.wikimedia.org/wikipedia/commons/d/d9/%D0%9C%D0%B5%D0%B2%D1%8B_%D0%BD%D0%B0_%D0%90%D0%B7%D0%BE%D0%B2%D0%B5.jpg
Мойва,Beneteau Oceanis 41,Капитан,Да,Кандалакшский залив,Кандалакша,4,12 м,8,2,29000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Kazan_River_port_area_08-2016_img1.jpg/1280px-Kazan_River_port_area_08-2016_img1.jpg
Perseus,McGregor 65,Капитан и помощник,Да,Кандалакшский залив,Кандалакша,6,22 м,13,2,53500,5,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Nizhny_Novgorod._Saint_Simeon_Church_in_the_Kremlin._Yachting_on_the_Volga._August_19%2C_2023.jpg/1280px-Nizhny_Novgorod._Saint_Simeon_Church_in_the_Kremlin._Yachting_on_the_Volga._August_19%2C_2023.jpg
Навага,Alubat Ovni 435,Капитан,Да,Онежская губа,Соловецкий,3,13 м,8,1,32500,5,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Taganrog._Yacht_club_and_port_P4300007_2350.jpg/1280px-Taganrog._Yacht_club_and_port_P4300007_2350.jpg
Freedom,Судоход 88,Капитан и помощник,Да,Онежская губа,Соловецкий,5,17 м,10,2,39500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Unknown_Russian_Yacht_%D0%A018-48%D0%9C%D0%93_in_Tallinn_22_May_2013.jpg/1280px-Unknown_Russian_Yacht_%D0%A018-48%D0%9C%D0%93_in_Tallinn_22_May_2013.jpg
Sea Fever,Судоход 88,Капитан и помощник,Да,Онежская губа,Соловецкий,5,17 м,10,2,39500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Yacht_club_Petrovskaya_kosa_9.jpg/1280px-Yacht_club_Petrovskaya_kosa_9.jpg
Белуха,Полутонник,Капитан,Нет,Онежская губа,Соловецкий,2,10 м,6,Нет,22500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B5%D1%87%D0%BD%D0%BE%D0%B9_%D1%8F%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1.jpg/1280px-%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B5%D1%87%D0%BD%D0%BE%D0%B9_%D1%8F%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1.jpg
